method,accuracy,macro_precision,weighted_precision,macro_f1,weighted_f1,recall_attention,recall_emergency
SMOTE,0.9760971659919029,0.9342300880634383,0.9771623875895774,0.9511093363179576,0.9764214179084979,0.9595285746052924,0.969060773480663
Class Weight,0.788923076923077,0.7885480180540365,0.9121889141195787,0.7461719789068533,0.8179440993038927,0.9993328885923949,0.6828729281767956
